UNIQUE ID,FIRST ,LAST,Time Spend on Quiz (mins),LEFT HANDED,POLYDACTYL,"NAMESPACE
COLOR","NUMBER OF
NAMESPACE
COLORS","Swallow
Speed","Fiction
Question",Children's Story,Invented Compiler,Matrix Math,SEMANTICS,TEAM SPORT,INDIV SPORT,INSTRUMENT,CLUBS,ANY GROUP ACTIVITY,AIR SHIELD COMBINATION,Life the Universe and Everything,COMPUTER,Favorite Cookie,Expected Grade,SLEEP AVG,SLEEP MODE,SLEEP MEDIAN,LOG2(1024),Night HW Due
0451,Carole,Bells,9,FALSE,FALSE,Blue,12,11 meters per second,force,pooh,Grace Murray Hopper,TRUE,The second hand,Track,X-Country,French Horn,none,1,12345,42,Deep Thought,Chocolate chip,B,8,8,8,10,Sunday night
0683,Monty,Carlo,14,FALSE,FALSE,Green,12,What do you mean? An African or European swallow?,Force,Pooh,Grace Murray Hopper,FALSE,The second hand,none,swimming,violin,FIRST robotics,1,1-2-3-4-5,42,deep thought,Peanut butter,B,7.5,7.5,7.5,10,Tuesday night
0767,Foster,Child,9,FALSE,FALSE,Orange,12,11 m/s,force,Pooh,Grace Murray Hopper,TRUE,The second hand,none,tennis,xylophone,Quiz Crew,1,12345,54,deep thought,Chocolate chip,B,8.7,7.6,9,10,Thursday night
0799,Anna,Conda,9,FALSE,TRUE,Orange,12,11 meters per second,force,Pooh,Grace Murray Hopper,FALSE,The second hand,none,none,Clarinet,none,1,12345,42,earth,Peanut butter,B,11,11,11,10,Thursday night
0901,Bill,DaBear,15,TRUE,FALSE,Blue,12,11 meters per second,force,Pooh,Grace Murray Hopper,TRUE,The second hand,none,golf,violin,reading club,1,1 2 3 4 5,42,deep thought,Macadamia nut,A,8 hours,8 hours,8 hours,10,Sunday night
0940,Cliff,Diver,20,FALSE,FALSE,Pink,12,What do you mean? African or European swallow?,Force,Pooh,Grace Murray Hopper,TRUE,The second hand,Soccer,none,Violin,none,1,12345,42,deep thought,Chocolate chip,I prefer not to answer.,8,7,7,10,Tuesday night
0992,Marcus,Down,13,FALSE,FALSE,Red,12,11 m/s,mass times acceleration,Pooh (you spelled Winnie wrong),Grace Murray Hopper,TRUE,The second hand,none,none,none,none,0,12345,42,deep thought,Peanut butter,I prefer not to answer.,8,8,8,10,Thursday night
1014,Phil,Dyer,17,FALSE,FALSE,Magenta,12,11 meter per second,Force,Pooh.,Grace Murray Hopper,TRUE,The second hand,Softball,tennis,Choir,Snowboard,1,12345,42,The Earth.,Chocolate chip,A,8 hours.,8 hours.,8,10,Sunday night
1015,Hugo,First,19,FALSE,FALSE,Red,12,African or European?,Force,Pooh,Grace Murray Hopper,TRUE,The second hand,none,tennis,percussion,masterminds,1,12345,42,deep thought,Chocolate chip,B,7,6.5,7.25,10,Thursday night
1037,Tom,Foolery,15,FALSE,FALSE,Blue,12,42,force,pooh,Grace Murray Hopper,TRUE,The second hand,none,swimming,piano,a different thing,1,42,42,deep thought,Oatmeal raisin,C,7,4,"6 hours on week days, 10 on weekends",10,Tuesday night
